Stock Code,Name
700,TENCENT
9988,BABA-SW
3690,MEITUAN-W
1299,AIA
2269,WUXI BIO
388,HKEX
1211,BYD COMPANY
2318,PING AN
5,HSBC HOLDINGS
3968,CM BANK
939,CCB
467,UNITEDENERGY GP
2331,LI NING
9999,NTES-S
2359,WUXI APPTEC
2015,LI AUTO-W
9618,JD-SW
2319,MENGNIU DAIRY
1398,ICBC
1024,KUAISHOU-W
1928,SANDS CHINA LTD
3988,BANK OF CHINA
2388,BOC HONG KONG
27,GALAXY ENT
2020,ANTA SPORTS
9888,BIDU-SW
291,CHINA RES BEER
992,LENOVO GROUP
669,TECHTRONIC IND
941,CHINA MOBILE
1810,XIAOMI-W
16,SHK PPT
386,SINOPEC CORP
857,PETROCHINA
522,ASMPT
1801,INNOVENT BIO
9961,TRIP.COM-S
883,CNOOC
2899,ZIJIN MINING
9868,XPENG-W
2282,MGM CHINA
2,CLP HOLDINGS
1876,BUD APAC
20,SENSETIME-W
981,SMIC
2601,CPIC
3,HK & CHINA GAS
2628,CHINA LIFE
1,CKH HOLDINGS
9987,YUM CHINA
1109,CHINA RES LAND
1910,SAMSONITE
1821,ESR
1880,CTG DUTY-FREE
2382,SUNNY OPTICAL
1093,CSPC PHARMA
9626,BILIBILI-W
66,MTR CORPORATION
1288,ABC
2688,ENN ENERGY
2328,PICC P&C
960,LONGFOR GROUP
2313,SHENZHOU INTL
3998,BOSIDENG
9901,NEW ORIENTAL-S
1658,PSBC
11,HANG SENG BANK
6618,JD HEALTH
175,GEELY AUTO
1797,EAST BUY
268,KINGDEE INT'L
6030,CITIC SEC
2202,CHINA VANKE
257,EB ENVIRONMENT
9698,GDS-SW
17,NEW WORLD DEV
688,CHINA OVERSEAS
1347,HUA HONG SEMI
101,HANG LUNG PPT
728,CHINA TELECOM
1038,CKI HOLDINGS
863,OSL GROUP
288,WH GROUP
270,GUANGDONG INV
6690,HAIER SMARTHOME
9633,NONGFU SPRING
1088,CHINA SHENHUA
1919,COSCO SHIP HOLD
2399,CN ANCHU ENERGY
868,XINYI GLASS
9688,ZAI LAB
9866,NIO-SW
425,MINTH GROUP
836,CHINA RES POWER
1606,CDB LEASING
1113,CK ASSET
788,CHINA TOWER
1530,3SBIO
2367,GIANT BIOGENE
881,ZHONGSHENG HLDG
1128,WYNN MACAU
267,CITIC
354,CHINASOFT INT'L
1177,SINO BIOPHARM
6862,HAIDILAO
316,OOIL
1772,GANFENGLITHIUM
1918,SUNAC
975,MONGOL MINING
780,TONGCHENGTRAVEL
1308,SITC
1997,WHARF REIC
1164,CGN MINING
853,MICROPORT
6,POWER ASSETS
1171,YANKUANG ENERGY
3328,BANKCOMM
19,SWIRE PACIFIC A
2007,COUNTRY GARDEN
6160,BEIGENE
1357,MEITU
973,L'OCCITANE
2338,WEICHAI POWER
1099,SINOPHARM
6098,CG SERVICES
12,HENDERSON LAND
586,CONCH VENTURE
3692,HANSOH PHARMA
916,CHINA LONGYUAN
3908,CICC
2343,PACIFIC BASIN
998,CITIC BANK
1519,J&T EXPRESS-W
285,BYD ELECTRONIC
3900,GREENTOWN CHINA
1833,PA GOODDOCTOR
2268,WUXI XDC
220,U-PRESID CHINA
1769,SCHOLAR EDU
902,HUANENG POWER
2018,AAC TECH
1378,CHINAHONGQIAO
6865,FLAT GLASS
2883,CHINA OILFIELD
168,TSINGTAO BREW
241,ALI HEALTH
1548,GENSCRIPT BIO
968,XINYI SOLAR
753,AIR CHINA
956,CHINA SUNTIEN
772,CHINA LIT
696,TRAVELSKY TECH
3993,CMOC
6078,HYGEIA HEALTH
2380,CHINA POWER
9926,AKESO
2600,CHALCO
358,JIANGXI COPPER
357,MEILAN AIRPORT
1209,CHINA RES MIXC
144,CHINA MER PORT
2333,GWMOTOR
1800,CHINA COMM CONS
1913,PRADA
762,CHINA UNICOM
1339,PICC GROUP
1611,SINOHOPE TECH
2196,FOSUN PHARMA
3347,TIGERMED
177,JIANGSU EXPRESS
9922,JIUMAOJIU
1055,CHINA SOUTH AIR
322,TINGYI
3800,GCL TECH
135,KUNLUN ENERGY
1368,XTEP INT'L
6990,SKB BIO-B
293,CATHAY PAC AIR
3888,KINGSOFT
1186,CHINA RAIL CONS
1208,MMG
1114,BRILLIANCE CHI
9896,MNSO
2689,ND PAPER
390,CHINA RAILWAY
1888,KB LAMINATES
3323,CNBM
83,SINO LAND
2698,WEIQIAO TEXTILE
4,WHARF HOLDINGS
1193,CHINA RES GAS
3668,YANCOAL AUS
2638,HKELECTRIC-SS
1735,CENTRAL NEW EGY
1138,COSCO SHIP ENGY
763,ZTE
384,CHINA GAS HOLD
1179,HWORLD-S
9890,ZX INC
2669,CHINA OVS PPT
1929,CHOW TAI FOOK
123,YUEXIU PROPERTY
13,HUTCHMED
694,BEIJING AIRPORT
142,FIRST PACIFIC
1405,DPC DASH
3311,CHINA STATE CON
371,BJ ENT WATER
1951,JXR
2888,STANCHART
412,SDHG
551,YUE YUEN IND
1044,HENGAN INT'L
80883,CNOOC-R
10,HANG LUNG GROUP
631,SANY INT'L
245,CHINA VERED FIN
14,HYSAN DEV
1066,WEIGAO GROUP
1766,CRRC
914,CONCH CEMENT
3759,PHARMARON
3898,TIMES ELECTRIC
1952,EVEREST MED - B
2439,CH TREASURES NM
1787,SD GOLD
856,VSTECS
1157,ZOOMLION
1199,COSCO SHIP PORT
1999,MAN WAH HLDGS
2511,HIGHTIDE-B
1818,ZHAOJIN MINING
1336,NCI
520,XIABUXIABU
8,PCCW
1898,CHINA COAL
136,CHINA RUYI
3933,UNITED LAB
6110,TOPSPORTS
2013,WEIMOB INC
2162,KEYMED BIO-B
6979,ZJLD
3618,CQRC BANK
880,SJM HOLDINGS
6060,ZA ONLINE
3606,FUYAO GLASS
1972,SWIREPROPERTIES
6823,HKT-SS
489,DONGFENG GROUP
148,KINGBOARD HLDG
1415,COWELL
2400,XD INC
3320,CHINARES PHARMA
799,IGG
3650,KEEP
314,SIPAI HEALTH
1988,MINSHENG BANK
6969,SMOORE INTL
1942,MOG DIGITECH
2423,BEKE-W
1907,CHINA RISUN GP
1676,SHENGHAI GROUP
1896,MAOYAN ENT
1071,HUADIAN POWER
6881,CGS
9992,POP MART
6689,HONGJIU FRUIT
3918,NAGACORP
1196,REALORD GROUP
2096,SIMCERE PHARMA
9969,INNOCARE
80388,HKEX-R
3633,ZHONGYU ENERGY
839,CHINA EDU GROUP
6830,HUAZHONG IN-V
966,CHINA TAIPING
2459,SANERGY GROUP
6963,SUNSHINE INS
1310,HKBN
3709,EEKA FASHION
576,ZHEJIANGEXPRESS
945,MANULIFE-S
2057,ZTO EXPRESS-W
3377,SINO-OCEAN GP
303,VTECH HOLDINGS
855,CHINA WATER
6699,ANGELALIGN
189,DONGYUE GROUP
1030,SEAZEN
9860,ADICON HOLDINGS
9863,LEAPMOTOR
995,ANHUIEXPRESSWAY
2386,SINOPEC SEG
861,DC HOLDINGS
2289,CHARMACY PHAR
152,SHENZHEN INT'L
2618,JD LOGISTICS
558,LK TECH
1878,SOUTHGOBI
9995,REMEGEN
6837,HAITONG SEC
3808,SINOTRUK
200,MELCO INT'L DEV
659,NWS HOLDINGS
1854,CHINA WANTIAN
1668,CHINASOUTHCITY
639,SHOUGANG RES
1313,CR BLDG MAT TEC
2099,CHINAGOLDINTL
3738,VOBILE GROUP
1816,CGN POWER
867,CMS
2001,NEW HIGHER EDU
2882,HKRH
1773,TIANLI INT HLDG
658,C TRANSMISSION
1060,ALI PICTURES
1478,Q TECH
9696,TIANQI LITHIUM
1497,YAN PALACE
9658,SUPER HI
2276,CONANT OPTICAL
1666,TONG REN TANG
673,CHINA HEALTH
1908,C&D INTL GROUP
710,BOE VARITRONIX
1883,CITIC TELECOM
1776,GF SEC
2208,GOLDWIND
1385,SHANGHAI FUDAN
1316,NEXTEER
3319,A-LIVING
363,SHANGHAI IND H
581,CHINA ORIENTAL
2660,ZENGAME
2314,LEE & MAN PAPER
1958,BAIC MOTOR
2169,CANGGANG-NEW
552,CHINACOMSERVICE
9966,ALPHAMAB-B
1855,ZONQING LTD
1274,IMOTIONAUTOTECH
2252,MEDBOT-B
6855,ASCENTAGE-B
2238,GAC GROUP
6886,HTSC
1836,STELLA HOLDINGS
1052,YUEXIUTRANSPORT
6683,STARPLUS LEGEND
921,HISENSE HA
1516,SUNAC SERVICES
991,DATANG POWER
512,GRAND PHARMA
580,SUN.KING TECH
1268,MEIDONG AUTO
33,INTL GENIUS
2362,JINCHUAN INTL
392,BEIJING ENT
6600,SCICLONE PHARMA
345,VITASOY INT'L
6808,SUNART RETAIL
874,BAIYUNSHAN PH
2477,WELLCELL HOLD
69,SHANGRI-LA ASIA
1798,DATANG RENEW
6186,CHINA FEIHE
3896,KINGSOFT CLOUD
817,CHINA JINMAO
256,CITYCHAMP
590,LUK FOOK HOLD
636,KERRY LOG NET
6821,ASYMCHEM
1579,YIHAI INTL
1359,CHINA CINDA
3868,XINYI ENERGY
297,SINOFERT
2128,CHINA LESSO
1799,XINTE ENERGY
2588,BOC AVIATION
23,BANK OF E ASIA
3393,WASION HOLDINGS
1585,YADEA
302,CMGE
2186,LUYE PHARMA
2385,READBOY
3669,YONGDA AUTO
9939,KINTOR PHARMA-B
2256,ABBISKO-B
1995,CIFI ES SERVICE
1618,MCC
990,THEME INT'L
884,CIFI HOLD GP
1521,FRONTAGE
1523,PLOVER BAY TECH
353,ENERGY INTINV
80700,TENCENT-R
6049,POLY PPT SER
683,KERRY PPT
3983,CHINA BLUECHEM
3978,BESTSTUDY EDU
2147,ZHENGWEI GROUP
2309,ZO FUTURE GROUP
9668,CBHB
806,VALUE PARTNERS
1691,JS GLOBAL LIFE
1458,ZHOU HEI YA
2121,AINNOVATION
3383,AGILE GROUP
2607,SH PHARMA
1072,DONGFANG ELEC
6185,CANSINOBIO
2429,UBOX ONLINE
215,HUTCHTEL HK
1882,HAITIAN INT'L
347,ANGANG STEEL
89988,BABA-SWR
6819,INTELLICENTRICS
546,FUFENG GROUP
9898,WB-SW
2419,DEKON AGR
2886,BINHAI INV
6616,GLOBAL NEW MAT
87,SWIRE PACIFIC B
1083,TG SMART ENERGY
242,SHUN TAK HOLD
6066,CSC
2405,POWERWIN TECH
525,GUANGSHEN RAIL
8083,CHINA YOUZAN
9699,SF INTRA-CITY
9956,ANE
2602,ONEWO
38,FIRST TRACTOR
1877,JUNSHI BIO
3899,CIMC ENRIC
9676,SHIYUE DAOTIAN
2255,HAICHANG HLDG
2393,YESTAR HEALTH
1866,CHINA XLX FERT
81211,BYD COMPANY-R
1258,CHINFMINING
6069,SY HOLDINGS
777,NETDRAGON
1450,BE FRIENDS HLDG
2160,CARDIOFLOW-B
2009,BBMG
596,INSPUR DIGI ENT
866,CHINA QINFA
398,ORIENTAL WATCH
9993,RADIANCE HLDGS
1626,JIA YAO HLDGS
2357,AVICHINA
6606,NH HEALTH
1610,COFCO JOYCOME
2503,ZHONGSHENJIANYE
1133,HARBIN ELECTRIC
819,TIANNENG POWER
6869,YOFC
656,FOSUN INTL
9985,WL DELICIOUS
2337,UNITED STRENGTH
9996,PEIJIA-B
2132,LANDRICH HLDG
1789,AK MEDICAL
6608,BAIRONG-W
598,SINOTRANS
1921,DALIPAL HLDG
2145,CHICMAX
2251,AIRDOC-B
1763,CIRC
1112,H&H INTL HLDG
2155,MORIMATSU INTL
3680,RUIHE DATA
6068,WISDOM EDU INTL
813,SHIMAO GROUP
6666,EVERG SERVICES
826,TIANGONG INT'L
670,CHINA EAST AIR
2158,YIDU TECH
82318,PING AN-R
2127,HUISEN INTL
3931,CALB
933,VIVA GOODS
2469,FENBI
587,CONCH ENVIRO
708,EVERG VEHICLE
1361,361 DEGREES
2285,CHERVON
3396,LEGENDHOLDING
1811,CGN NEW ENERGY
2678,TEXHONG INTL GP
3773,YS DIGIFAVOR
468,GAPACK
1558,HEC CJ PHARM
338,SHANGHAI PECHEM
8238,WINTO GROUP
151,WANT WANT CHINA
1456,GUOLIAN SEC
1733,E-COMMODITIES
1600,TIAN LUN GAS
9878,HUITONGDA NET
909,MING YUAN CLOUD
1513,LIVZON PHARMA
