Stock Code,Name
1.0,CKH HOLDINGS
2.0,CLP HOLDINGS
3.0,HK & CHINA GAS
4.0,WHARF HOLDINGS
5.0,HSBC HOLDINGS
6.0,POWER ASSETS
7.0,WISDOM WEALTH
8.0,PCCW
9.0,KEYNE LTD
10.0,HANG LUNG GROUP
11.0,HANG SENG BANK
12.0,HENDERSON LAND
13.0,HUTCHMED
14.0,HYSAN DEV
16.0,SHK PPT
17.0,NEW WORLD DEV
18.0,ORIENTAL E H
19.0,SWIRE PACIFIC A
20.0,SENSETIME-W
21.0,GREAT CHI HLDGS
22.0,MEXAN
23.0,BANK OF E ASIA
25.0,CHEVALIER INT'L
26.0,CHINA MOTOR BUS
27.0,GALAXY ENT
28.0,TIAN AN
29.0,DYNAMIC HOLD
30.0,YNBY INTL
31.0,CHINA AEROSPACE
32.0,CROSS-HAR(HOLD)
33.0,INTL GENIUS
34.0,KOWLOON DEV
35.0,FE CONSORT INTL
36.0,FE HLDGS INTL
37.0,FE HOTELS
38.0,FIRST TRACTOR
39.0,CH BEIDAHUANG
40.0,GOLD PEAK
41.0,GREAT EAGLE H
42.0,NE ELECTRIC
45.0,HK&S HOTELS
46.0,COMPUTER & TECH
48.0,C AUTO INT DECO
50.0,HK FERRY (HOLD)
51.0,HARBOUR CENTRE
52.0,FAIRWOOD HOLD
53.0,GUOCO GROUP
55.0,NEWAY GROUP
57.0,CHEN HSONG HOLD
58.0,SUNWAY INT'L
59.0,SKYFAME REALTY
60.0,HK FOOD INV
61.0,GREEN LEADER
62.0,TRANSPORT INT'L
63.0,CHI ASIA VALLEY
64.0,GET NICE
65.0,GRAND OCEAN AR
66.0,MTR CORPORATION
69.0,SHANGRI-LA ASIA
70.0,RICH GOLDMAN
71.0,MIRAMAR HOTEL
72.0,META MEDIA
73.0,ASIAN CITRUS
75.0,Y.T. REALTY
76.0,ELATE HOLDINGS
77.0,AMS TRANSPORT
78.0,REGAL INT'L
79.0,CENTURY LEGEND
80.0,CNEWECON FUND
81.0,CH OVS G OCEANS
82.0,CRAZY SPORTS
83.0,SINO LAND
84.0,STELUX HOLDINGS
85.0,CE HUADA TECH
86.0,SUN HUNG KAI CO
87.0,SWIRE PACIFIC B
88.0,TAI CHEUNG HOLD
89.0,TAI SANG LAND
90.0,PUXING ENERGY
92.0,CHAMPION TECH
93.0,TERMBRAY IND
94.0,GREENHEART GP
95.0,LVGEM CHINA
96.0,YUSEI
97.0,HENDERSON INV
98.0,XINGFA ALUM
99.0,WONG'S INT'L
101.0,HANG LUNG PPT
103.0,SHOUGANG CENT
104.0,ASIA COMM HOLD
105.0,ASSO INT HOTELS
106.0,LANDSEA MGMT
107.0,SICHUAN EXPRESS
108.0,GR LIFE STYLE
110.0,CHINA FORTUNE
111.0,CINDA INTL HLDG
113.0,DICKSON CONCEPT
114.0,HERALD HOLD
115.0,GRAND FIELD GP
116.0,CHOW SANG SANG
117.0,TIANLI HOLDINGS
118.0,COSMOS MACH
119.0,POLY PROPERTY
